RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
40,0.4,0.0,0.0,0.0,53.8,1830,5991.7,26.9,22.0,518.0,696.784604899676
14,0.0,0.0,0.0,0.0,48.6,1850,5994.6,26.6,18.3,456.8,951.3515915749334
51,0.5800000000000001,0.0,0.0,0.0,44.6,1830,5996.3,23.3,18.2,506.5,656.0285833499076
26,0.0,0.0,0.0,0.0,54.7,1850,5998.0,21.2,15.3,506.9,907.463603725233
23,0.0,0.0,0.0,0.0,59.099999999999994,1870,6000.0,22.0,14.8,471.6,627.0859226000309
37,0.0,0.0,0.0,0.0,55.599999999999994,1910,6002.8,22.0,16.3,462.6,490.20887229995907
0,0.0,0.0,0.0,0.0,50.1,1860,6003.7,20.1,14.1,440.9,461.3679487496394
0,0.0,0.0,0.0,0.0,47.9,1860,6005.0,18.8,12.4,424.9,430.40839032489913
0,0.0,0.0,0.0,0.0,50.0,1910,6009.1,20.4,15.7,407.6,345.9466086003997
0,0.0,0.0,0.0,0.0,50.3,1950,6012.9,20.0,16.0,406.6,314.93216780042104
0,0.0,0.0,0.0,0.0,48.0,1980,6016.8,17.3,13.3,406.2,479.9945435249666
0,0.0,0.0,0.0,0.0,46.1,1930,6018.8,14.6,8.6,414.2,373.5919737000015
0,0.0,0.0,0.0,0.0,44.3,1940,6020.6,14.5,8.299999999999999,404.5,337.27452497488713
0,0.0,0.0,0.0,0.0,44.8,1930,6023.3,13.899999999999999,9.3,409.8,372.33606252495105
0,0.0,0.0,0.0,0.0,44.9,1930,6027.1,13.6,10.2,407.4,353.4590960748145
0,0.0,4.300000000000001,4.300000000000001,0.0,47.0,1930,6030.0,14.1,11.3,407.5,686.4862119245314
0,0.0,19.2,19.2,0.0,48.0,1960,6033.9,15.2,14.3,413.2,294.46677720059677
10,0.0,16.2,16.2,0.0,43.800000000000004,1980,6038.2,15.600000000000001,14.9,417.8,364.4095901251629
13,0.0,19.7,19.7,0.0,43.8,1980,6040.2,15.5,15.4,428.1,515.8930989744871
